評価軸,温度,評価値
甘い,基準温度,4.33
甘い,基準温度+2℃,4.50
甘い,基準温度-2℃,4.83
酸っぱい,基準温度,2.67
酸っぱい,基準温度+2℃,3.00
酸っぱい,基準温度-2℃,3.67
苦い,基準温度,0.67
苦い,基準温度+2℃,0.67
苦い,基準温度-2℃,0.00
アッサリした,基準温度,3.33
アッサリした,基準温度+2℃,2.17
アッサリした,基準温度-2℃,3.67
爽快な,基準温度,3.50
爽快な,基準温度+2℃,2.83
爽快な,基準温度-2℃,4.00
まとわりつく感じ,基準温度,1.17
まとわりつく感じ,基準温度+2℃,2.33
まとわりつく感じ,基準温度-2℃,1.17
