評価軸,温度,評価値
甘い,基準温度,3.33
甘い,基準温度+2℃,4.00
甘い,基準温度-2℃,3.17
酸っぱい,基準温度,3.00
酸っぱい,基準温度+2℃,2.33
酸っぱい,基準温度-2℃,3.50
苦い,基準温度,1.67
苦い,基準温度+2℃,2.17
苦い,基準温度-2℃,0.83
アッサリした,基準温度,3.50
アッサリした,基準温度+2℃,2.83
アッサリした,基準温度-2℃,4.67
爽快な,基準温度,3.33
爽快な,基準温度+2℃,2.83
爽快な,基準温度-2℃,3.67
まとわりつく感じ,基準温度,2.00
まとわりつく感じ,基準温度+2℃,2.00
まとわりつく感じ,基準温度-2℃,1.67
