評価軸,温度,評価値
甘い,基準温度,3.67
甘い,基準温度+2℃,4.33
甘い,基準温度-2℃,4.00
酸っぱい,基準温度,3.50
酸っぱい,基準温度+2℃,2.67
酸っぱい,基準温度-2℃,2.67
苦い,基準温度,1.33
苦い,基準温度+2℃,1.67
苦い,基準温度-2℃,2.67
アッサリした,基準温度,1.83
アッサリした,基準温度+2℃,2.67
アッサリした,基準温度-2℃,2.33
爽快な,基準温度,2.33
爽快な,基準温度+2℃,3.33
爽快な,基準温度-2℃,2.33
まとわりつく感じ,基準温度,2.33
まとわりつく感じ,基準温度+2℃,2.83
まとわりつく感じ,基準温度-2℃,2.83
